IDSensorAgent,MeasuredDepth,TrueDepth,Temperature,DangerTemp,CriticalTemp,ShutdownTemp,Ticks
1,50.013133333333336,43.312655049049084,31.299379622428074,103.0,139.0,151.0,1.0
2,40.013133333333336,34.652398799880714,31.039571940760176,122.0,137.0,151.0,1.0
3,30.013133333333332,25.992142550712344,30.779764259092282,114.0,137.0,153.0,1.0
4,20.013133333333332,17.331886301543975,30.519956577424384,120.0,139.0,150.0,1.0
4,20.026266666666665,17.343260104751216,30.520297791512974,120.0,139.0,150.0,2.0
1,50.02626666666667,43.324028852256326,31.299720836516663,103.0,139.0,151.0,2.0
3,30.026266666666665,26.003516353919583,30.78010547318087,114.0,137.0,153.0,2.0
2,40.02626666666667,34.663772603087956,31.03991315484877,122.0,137.0,151.0,2.0
1,50.03940000000001,43.33540265546357,31.300062050605256,103.0,139.0,151.0,3.0
3,30.039399999999997,26.014890157126825,30.78044668726946,114.0,137.0,153.0,3.0
4,20.039399999999997,17.354633907958455,30.520639005601566,120.0,139.0,150.0,3.0
2,40.03940000000001,34.6751464062952,31.040254368937358,122.0,137.0,151.0,3.0
3,30.05253333333333,26.026263960334063,30.780787901358053,114.0,137.0,153.0,4.0
1,50.05253333333334,43.34677645867081,31.300403264693845,103.0,139.0,151.0,4.0
4,20.05253333333333,17.366007711165697,30.520980219690156,120.0,139.0,150.0,4.0
2,40.05253333333334,34.68652020950245,31.040595583025947,122.0,137.0,151.0,4.0
3,30.06566666666666,26.037637763541305,30.781129115446642,114.0,137.0,153.0,5.0
1,50.06566666666668,43.35815026187805,31.300744478782438,103.0,139.0,151.0,5.0
2,40.06566666666668,34.69789401270969,31.04093679711454,122.0,137.0,151.0,5.0
4,20.06566666666666,17.377381514372935,30.521321433778745,120.0,139.0,150.0,5.0
4,20.078799999999994,17.388755317580177,30.521662647867338,120.0,139.0,150.0,6.0
3,30.078799999999994,26.049011566748543,30.78147032953523,114.0,137.0,153.0,6.0
2,40.078800000000015,34.70926781591693,31.04127801120313,122.0,137.0,151.0,6.0
1,50.078800000000015,43.3695240650853,31.301085692871027,103.0,139.0,151.0,6.0
4,20.091933333333326,17.400129120787415,30.522003861955927,120.0,139.0,150.0,7.0
1,50.09193333333335,43.38089786829254,31.301426906959616,103.0,139.0,151.0,7.0
3,30.091933333333326,26.060385369955785,30.781811543623824,114.0,137.0,153.0,7.0
2,40.09193333333335,34.72064161912417,31.041619225291722,122.0,137.0,151.0,7.0
1,50.10506666666669,43.392271671499785,31.30176812104821,103.0,139.0,151.0,8.0
3,30.10506666666666,26.071759173163024,30.782152757712414,114.0,137.0,153.0,8.0
4,20.10506666666666,17.411502923994657,30.522345076044516,120.0,139.0,150.0,8.0
2,40.10506666666669,34.732015422331415,31.04196043938031,122.0,137.0,151.0,8.0
3,30.11819999999999,26.083132976370266,30.782493971801003,114.0,137.0,153.0,9.0
2,40.11820000000002,34.743389225538664,31.0423016534689,122.0,137.0,151.0,9.0
1,50.11820000000002,43.40364547470703,31.302109335136798,103.0,139.0,151.0,9.0
4,20.11819999999999,17.4228767272019,30.52268629013311,120.0,139.0,150.0,9.0
1,50.13133333333336,43.41501927791427,31.30245054922539,103.0,139.0,151.0,10.0
3,30.131333333333323,26.094506779577504,30.782835185889596,114.0,137.0,153.0,10.0
2,40.13133333333336,34.754763028745906,31.042642867557493,122.0,137.0,151.0,10.0
4,20.131333333333323,17.434250530409138,30.523027504221698,120.0,139.0,150.0,10.0
3,30.144466666666656,26.105880582784746,30.783176399978185,114.0,137.0,153.0,11.0
4,20.144466666666656,17.44562433361638,30.523368718310287,120.0,139.0,150.0,11.0
1,50.144466666666695,43.42639308112152,31.30279176331398,103.0,139.0,151.0,11.0
2,40.144466666666695,34.76613683195315,31.042984081646082,122.0,137.0,151.0,11.0
2,40.15760000000003,34.77751063516039,31.043325295734675,122.0,137.0,151.0,12.0
4,20.157599999999988,17.456998136823618,30.52370993239888,120.0,139.0,150.0,12.0
3,30.157599999999988,26.117254385991988,30.783517614066774,114.0,137.0,153.0,12.0
1,50.15760000000003,43.43776688432876,31.30313297740257,103.0,139.0,151.0,12.0
3,30.17073333333332,26.128628189199226,30.783858828155367,114.0,137.0,153.0,13.0
2,40.17073333333337,34.78888443836763,31.043666509823264,122.0,137.0,151.0,13.0
4,20.17073333333332,17.46837194003086,30.52405114648747,120.0,139.0,150.0,13.0
1,50.17073333333337,43.449140687536,31.303474191491162,103.0,139.0,151.0,13.0
3,30.183866666666653,26.140001992406468,30.784200042243956,114.0,137.0,153.0,14.0
1,50.1838666666667,43.46051449074324,31.30381540557975,103.0,139.0,151.0,14.0
4,20.183866666666653,17.479745743238098,30.52439236057606,120.0,139.0,150.0,14.0
2,40.1838666666667,34.80025824157488,31.044007723911854,122.0,137.0,151.0,14.0
4,20.196999999999985,17.49111954644534,30.52473357466465,120.0,139.0,150.0,15.0
3,30.196999999999985,26.151375795613706,30.78454125633255,114.0,137.0,153.0,15.0
